@relation aux
@attribute sex {'0','1'}
@attribute age numeric
@attribute juv_fel_count numeric
@attribute juv_misd_count numeric
@attribute juv_other_count numeric
@attribute priors_count numeric
@attribute age_cat_25.45 {'0','1'}
@attribute age_cat_Greaterthan45 {'0','1'}
@attribute age_cat_Lessthan25 {'0','1'}
@attribute race_African.American {'0','1'}
@attribute race_Caucasian {'0','1'}
@attribute c_charge_degree_F numeric
@attribute c_charge_degree_M numeric
@attribute class {'1','2'}
@data
'1',48,0,0,0,2,'0','1','0','0','1',0,1,'1'
'1',22,0,0,0,1,'0','0','1','1','0',1,0,'1'
'1',46,0,0,0,6,'0','1','0','0','1',1,0,'2'
'1',31,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',25,0,0,0,1,'1','0','0','1','0',0,1,'2'
'0',32,0,0,0,5,'1','0','0','1','0',1,0,'1'
'1',62,0,0,0,8,'0','1','0','1','0',1,0,'1'
'1',28,0,0,0,6,'1','0','0','1','0',0,1,'2'
'1',78,0,0,0,1,'0','1','0','0','1',0,1,'2'
'1',56,0,0,0,0,'0','1','0','0','1',1,0,'1'
'1',22,0,0,0,1,'0','0','1','1','0',1,0,'2'
'1',47,0,0,0,23,'0','1','0','1','0',0,1,'2'
'1',23,0,0,0,0,'0','0','1','1','0',0,1,'2'
'1',66,0,0,0,3,'0','1','0','1','0',1,0,'1'
'1',45,0,0,0,8,'0','1','0','0','1',0,1,'2'
'1',37,0,0,0,2,'1','0','0','1','0',0,1,'2'
'1',39,0,0,0,0,'1','0','0','0','1',1,0,'2'
'1',26,0,0,0,9,'1','0','0','1','0',1,0,'2'
'1',45,0,0,0,2,'0','1','0','0','1',1,0,'1'
'1',23,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',34,0,0,0,2,'1','0','0','1','0',0,1,'1'
'0',23,0,0,0,1,'0','0','1','1','0',0,1,'1'
'1',50,0,0,0,1,'0','1','0','0','1',1,0,'1'
'0',37,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',44,0,0,0,4,'1','0','0','0','1',0,1,'1'
'0',35,0,1,0,23,'1','0','0','1','0',1,0,'2'
'1',26,0,0,0,2,'1','0','0','1','0',1,0,'2'
'1',27,0,0,0,0,'1','0','0','1','0',0,1,'1'
'0',28,0,0,0,0,'1','0','0','1','0',1,0,'1'
'0',28,0,0,0,7,'1','0','0','0','1',1,0,'2'
'1',38,0,0,0,2,'1','0','0','1','0',1,0,'1'
'0',28,0,0,0,1,'1','0','0','1','0',1,0,'1'
'1',56,0,0,0,7,'0','1','0','0','1',1,0,'2'
'1',38,0,0,0,15,'1','0','0','1','0',1,0,'1'
'1',28,0,0,0,2,'1','0','0','1','0',0,1,'1'
'0',51,0,0,0,0,'0','1','0','0','1',0,1,'2'
'1',51,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',48,0,0,0,0,'0','1','0','1','0',1,0,'1'
'1',37,0,0,0,4,'1','0','0','0','1',1,0,'2'
'0',30,0,0,0,2,'1','0','0','1','0',1,0,'1'
'0',41,0,0,0,5,'1','0','0','1','0',0,1,'1'
'1',27,0,0,0,11,'1','0','0','1','0',1,0,'2'
'1',37,0,0,0,0,'1','0','0','1','0',0,1,'1'
'1',54,0,0,0,11,'0','1','0','1','0',1,0,'1'
'1',23,0,0,0,2,'0','0','1','1','0',1,0,'1'
'1',41,0,0,0,0,'1','0','0','1','0',0,1,'1'
'1',52,0,0,0,0,'0','1','0','0','1',1,0,'1'
'1',43,0,0,0,13,'1','0','0','0','1',1,0,'2'
'1',52,0,0,0,0,'0','1','0','1','0',1,0,'1'
'1',28,0,0,0,1,'1','0','0','0','1',1,0,'1'
'1',30,0,0,2,11,'1','0','0','1','0',0,1,'2'
'1',28,0,0,0,1,'1','0','0','0','1',1,0,'1'
'1',22,0,0,0,0,'0','0','1','1','0',1,0,'1'
'1',30,0,0,0,4,'1','0','0','1','0',1,0,'1'
'1',31,0,0,0,0,'1','0','0','0','1',1,0,'2'
'1',37,0,0,0,0,'1','0','0','0','1',1,0,'2'
'1',32,0,1,0,14,'1','0','0','1','0',1,0,'1'
'1',53,0,0,0,1,'0','1','0','0','1',0,1,'1'
'1',28,0,0,0,25,'1','0','0','1','0',1,0,'2'
'1',44,0,0,0,8,'1','0','0','0','1',0,1,'2'
'1',25,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',22,0,0,1,1,'0','0','1','0','1',0,1,'2'
'0',23,0,0,4,5,'0','0','1','0','1',1,0,'2'
'1',29,0,0,0,1,'1','0','0','1','0',0,1,'1'
'1',20,0,0,0,1,'0','0','1','1','0',1,0,'2'
'1',30,0,0,0,2,'1','0','0','1','0',1,0,'2'
'1',27,0,0,0,4,'1','0','0','1','0',1,0,'1'
'0',37,0,0,0,2,'1','0','0','1','0',1,0,'1'
'1',20,0,0,0,0,'0','0','1','1','0',1,0,'1'
'0',52,0,0,0,0,'0','1','0','1','0',1,0,'1'
'0',23,0,0,0,0,'0','0','1','1','0',1,0,'2'
'0',48,0,0,0,0,'0','1','0','1','0',1,0,'1'
'1',25,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',27,0,0,0,0,'1','0','0','0','1',1,0,'2'
'1',30,0,0,0,11,'1','0','0','1','0',1,0,'2'
'1',22,0,1,1,3,'0','0','1','1','0',0,1,'2'
'0',22,0,0,0,1,'0','0','1','0','1',1,0,'1'
'0',41,0,0,0,2,'1','0','0','1','0',0,1,'1'
'1',52,0,0,0,3,'0','1','0','1','0',1,0,'2'
'1',43,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',37,0,0,0,3,'1','0','0','0','1',1,0,'1'
'1',70,0,0,0,1,'0','1','0','0','1',0,1,'1'
'1',46,0,0,0,3,'0','1','0','0','1',1,0,'1'
'1',21,0,0,0,0,'0','0','1','1','0',0,1,'2'
'1',26,0,0,0,1,'1','0','0','1','0',0,1,'2'
'1',34,0,0,0,5,'1','0','0','0','1',0,1,'1'
'1',34,0,0,0,5,'1','0','0','1','0',0,1,'1'
'1',23,0,0,0,0,'0','0','1','0','1',1,0,'2'
'1',34,0,0,0,5,'1','0','0','1','0',1,0,'2'
'1',39,0,0,0,6,'1','0','0','1','0',1,0,'2'
'1',58,0,0,0,2,'0','1','0','0','1',1,0,'1'
'0',21,0,0,0,0,'0','0','1','1','0',0,1,'1'
'1',23,0,0,1,4,'0','0','1','1','0',0,1,'2'
'1',62,0,0,0,0,'0','1','0','0','1',1,0,'1'
'1',37,0,0,0,5,'1','0','0','0','1',1,0,'1'
'0',32,0,0,0,5,'1','0','0','1','0',1,0,'1'
'1',27,0,0,0,0,'1','0','0','1','0',0,1,'1'
'1',44,0,0,0,0,'1','0','0','0','1',0,1,'2'
'1',28,0,0,0,3,'1','0','0','0','1',0,1,'2'
'0',42,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',27,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',20,0,0,0,0,'0','0','1','1','0',1,0,'2'
'0',51,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',56,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',29,0,0,0,7,'1','0','0','1','0',1,0,'1'
'1',20,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',27,0,0,0,8,'1','0','0','0','1',1,0,'1'
'1',24,0,1,0,2,'0','0','1','1','0',1,0,'2'
'1',53,0,0,0,36,'0','1','0','0','1',1,0,'2'
'1',28,0,0,0,2,'1','0','0','0','1',0,1,'2'
'0',36,0,0,0,0,'1','0','0','1','0',1,0,'1'
'0',25,0,0,0,2,'1','0','0','0','1',0,1,'2'
'1',28,0,0,0,1,'1','0','0','0','1',1,0,'1'
'0',21,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',36,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',24,0,0,0,0,'0','0','1','1','0',1,0,'1'
'1',29,0,0,0,0,'1','0','0','1','0',1,0,'1'
'0',30,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',32,0,1,0,12,'1','0','0','1','0',1,0,'2'
'1',23,0,0,1,1,'0','0','1','1','0',1,0,'1'
'1',47,0,0,0,3,'0','1','0','1','0',1,0,'1'
'1',37,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',19,0,2,0,2,'0','0','1','1','0',1,0,'2'
'0',21,0,0,2,0,'0','0','1','0','1',1,0,'1'
'1',69,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',21,0,0,0,2,'0','0','1','0','1',1,0,'1'
'1',26,0,0,1,6,'1','0','0','1','0',0,1,'2'
'1',22,0,0,0,0,'0','0','1','0','1',1,0,'1'
'0',23,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',49,0,0,0,3,'0','1','0','1','0',1,0,'1'
'1',29,0,0,1,2,'1','0','0','1','0',0,1,'1'
'0',60,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',23,2,0,0,3,'0','0','1','1','0',1,0,'2'
'1',30,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',21,0,1,0,1,'0','0','1','1','0',1,0,'1'
'1',22,0,0,0,2,'0','0','1','0','1',0,1,'2'
'1',21,0,0,0,4,'0','0','1','1','0',1,0,'2'
'1',21,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',34,0,0,0,1,'1','0','0','0','1',0,1,'1'
'0',50,0,0,0,1,'0','1','0','0','1',0,1,'2'
'1',40,0,0,0,0,'1','0','0','0','1',1,0,'2'
'1',25,0,0,0,7,'1','0','0','1','0',1,0,'2'
'0',53,0,0,0,1,'0','1','0','0','1',0,1,'1'
'0',24,0,0,0,0,'0','0','1','1','0',1,0,'1'
'1',42,0,0,0,1,'1','0','0','1','0',1,0,'1'
'1',28,0,0,0,1,'1','0','0','1','0',0,1,'1'
'1',26,1,1,0,6,'1','0','0','1','0',1,0,'2'
'1',22,0,0,0,4,'0','0','1','1','0',1,0,'2'
'1',21,0,0,0,3,'0','0','1','0','1',0,1,'1'
'1',37,0,0,0,23,'1','0','0','1','0',1,0,'2'
'1',35,0,0,0,2,'1','0','0','1','0',1,0,'1'
'1',53,0,0,0,2,'0','1','0','1','0',1,0,'1'
'1',29,0,0,0,7,'1','0','0','1','0',1,0,'1'
'1',48,1,0,0,23,'0','1','0','0','1',1,0,'2'
'0',52,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',27,0,0,0,12,'1','0','0','1','0',1,0,'2'
'1',28,0,0,0,5,'1','0','0','1','0',1,0,'1'
'1',33,0,0,0,3,'1','0','0','0','1',0,1,'1'
'1',36,0,0,0,14,'1','0','0','1','0',1,0,'2'
'1',29,1,0,0,2,'1','0','0','1','0',1,0,'1'
'1',22,0,0,1,0,'0','0','1','1','0',0,1,'2'
'1',25,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',56,0,0,0,5,'0','1','0','1','0',1,0,'1'
'1',27,0,0,0,9,'1','0','0','1','0',1,0,'2'
'1',52,0,0,0,4,'0','1','0','0','1',1,0,'2'
'1',32,0,0,0,3,'1','0','0','1','0',1,0,'1'
'0',39,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',56,0,0,0,0,'0','1','0','0','1',0,1,'1'
'0',22,0,0,0,0,'0','0','1','1','0',1,0,'1'
'1',53,0,0,0,11,'0','1','0','1','0',1,0,'1'
'1',25,0,0,0,0,'1','0','0','0','1',0,1,'2'
'1',22,0,0,0,0,'0','0','1','0','1',1,0,'1'
'0',58,0,0,0,2,'0','1','0','0','1',0,1,'1'
'1',31,0,0,0,7,'1','0','0','1','0',0,1,'2'
'1',22,0,0,0,1,'0','0','1','0','1',1,0,'2'
'1',28,0,0,0,8,'1','0','0','1','0',1,0,'2'
'1',20,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',29,0,0,0,0,'1','0','0','0','1',0,1,'2'
'1',58,0,0,0,21,'0','1','0','1','0',0,1,'2'
'1',22,0,0,0,3,'0','0','1','1','0',1,0,'1'
'1',37,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',57,0,0,0,1,'0','1','0','1','0',1,0,'2'
'1',27,0,0,0,3,'1','0','0','0','1',0,1,'1'
'1',26,0,0,0,3,'1','0','0','1','0',1,0,'1'
'1',24,0,1,1,3,'0','0','1','0','1',1,0,'2'
'1',33,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',29,0,0,0,2,'1','0','0','1','0',1,0,'1'
'0',24,0,0,0,3,'0','0','1','1','0',1,0,'2'
'1',19,0,0,1,1,'0','0','1','0','1',1,0,'2'
'1',36,0,0,0,2,'1','0','0','0','1',0,1,'1'
'0',24,0,0,0,0,'0','0','1','0','1',1,0,'1'
'1',34,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',20,1,0,1,1,'0','0','1','1','0',1,0,'2'
'1',24,0,0,0,1,'0','0','1','1','0',0,1,'2'
'1',61,0,0,0,4,'0','1','0','0','1',1,0,'1'
'0',50,0,0,0,3,'0','1','0','1','0',1,0,'1'
'1',30,0,0,0,1,'1','0','0','1','0',0,1,'1'
'1',38,0,0,0,5,'1','0','0','1','0',1,0,'1'
'1',24,0,0,0,0,'0','0','1','0','1',0,1,'1'
'0',46,0,0,0,2,'0','1','0','1','0',1,0,'2'
'1',41,0,0,0,0,'1','0','0','0','1',0,1,'2'
'1',27,0,0,0,13,'1','0','0','1','0',0,1,'2'
'1',26,0,0,0,1,'1','0','0','1','0',0,1,'2'
'1',29,0,0,0,3,'1','0','0','1','0',1,0,'2'
'1',52,0,0,0,6,'0','1','0','0','1',1,0,'2'
'1',28,0,0,0,1,'1','0','0','0','1',1,0,'2'
'1',55,0,0,0,5,'0','1','0','1','0',1,0,'2'
'1',26,1,1,0,10,'1','0','0','1','0',1,0,'2'
'1',28,0,0,0,5,'1','0','0','1','0',1,0,'1'
'1',63,0,0,0,2,'0','1','0','0','1',1,0,'1'
'1',42,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',23,1,2,2,6,'0','0','1','1','0',1,0,'1'
'1',54,0,0,0,28,'0','1','0','1','0',1,0,'2'
'1',35,0,0,1,8,'1','0','0','1','0',1,0,'2'
'0',24,1,0,0,6,'0','0','1','1','0',1,0,'2'
'1',54,0,0,0,2,'0','1','0','1','0',0,1,'1'
'1',58,0,0,0,12,'0','1','0','1','0',0,1,'2'
'1',23,0,0,1,1,'0','0','1','0','1',0,1,'2'
'1',35,0,0,0,1,'1','0','0','1','0',0,1,'1'
'1',20,0,0,0,1,'0','0','1','1','0',1,0,'2'
'1',51,0,0,0,0,'0','1','0','0','1',1,0,'1'
'1',37,0,0,0,3,'1','0','0','0','1',1,0,'1'
'1',47,0,0,0,3,'0','1','0','0','1',1,0,'1'
'1',34,0,0,0,4,'1','0','0','0','1',1,0,'2'
'1',56,0,0,0,0,'0','1','0','0','1',1,0,'1'
'1',59,0,0,0,1,'0','1','0','0','1',1,0,'2'
'0',24,0,0,1,6,'0','0','1','0','1',1,0,'2'
'1',21,0,0,4,2,'0','0','1','0','1',0,1,'2'
'1',26,0,0,0,1,'1','0','0','1','0',1,0,'1'
'0',30,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',29,0,0,0,0,'1','0','0','0','1',0,1,'2'
'1',54,0,0,0,0,'0','1','0','1','0',0,1,'1'
'1',29,0,0,0,4,'1','0','0','1','0',1,0,'2'
'0',59,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',38,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',27,0,0,0,1,'1','0','0','0','1',0,1,'2'
'1',66,0,0,0,33,'0','1','0','1','0',1,0,'2'
'1',27,0,0,0,2,'1','0','0','0','1',1,0,'1'
'1',51,0,0,0,1,'0','1','0','0','1',0,1,'1'
'1',35,0,0,0,1,'1','0','0','0','1',1,0,'1'
'1',52,0,0,0,4,'0','1','0','0','1',0,1,'1'
'0',26,0,0,0,0,'1','0','0','1','0',0,1,'1'
'0',48,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',33,0,0,0,2,'1','0','0','1','0',0,1,'1'
'0',34,0,0,0,6,'1','0','0','1','0',1,0,'1'
'1',59,0,0,0,10,'0','1','0','1','0',1,0,'2'
'1',29,0,0,0,5,'1','0','0','1','0',1,0,'2'
'1',24,0,0,0,0,'0','0','1','0','1',1,0,'1'
'1',48,0,0,0,1,'0','1','0','0','1',1,0,'2'
'1',52,0,0,0,4,'0','1','0','1','0',0,1,'1'
'1',20,0,0,0,0,'0','0','1','1','0',1,0,'2'
'1',25,0,0,0,4,'1','0','0','0','1',1,0,'2'
'1',24,0,0,0,0,'0','0','1','0','1',1,0,'1'
'1',23,0,0,0,0,'0','0','1','0','1',0,1,'1'
'1',27,0,1,3,6,'1','0','0','0','1',1,0,'1'
'1',25,0,1,0,1,'1','0','0','1','0',0,1,'2'
'1',31,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',25,0,1,0,6,'1','0','0','1','0',1,0,'2'
'1',32,0,0,0,1,'1','0','0','0','1',1,0,'2'
'1',21,0,0,0,0,'0','0','1','0','1',1,0,'2'
'1',25,0,0,0,0,'1','0','0','0','1',1,0,'1'
'1',35,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',42,0,0,0,14,'1','0','0','1','0',1,0,'2'
'1',24,0,0,1,9,'0','0','1','0','1',0,1,'2'
'1',47,0,0,0,1,'0','1','0','0','1',0,1,'1'
'1',27,0,0,0,5,'1','0','0','1','0',1,0,'2'
'1',46,0,0,0,2,'0','1','0','0','1',1,0,'2'
'1',44,0,0,0,1,'1','0','0','1','0',0,1,'1'
'1',23,0,0,0,2,'0','0','1','0','1',1,0,'1'
'1',42,0,0,0,8,'1','0','0','1','0',1,0,'1'
'1',58,0,0,0,6,'0','1','0','1','0',1,0,'1'
'1',26,0,0,1,3,'1','0','0','1','0',1,0,'1'
'1',39,0,0,0,3,'1','0','0','1','0',1,0,'2'
'1',21,0,2,0,3,'0','0','1','1','0',1,0,'2'
'1',63,0,0,0,1,'0','1','0','0','1',0,1,'1'
'1',22,0,1,0,3,'0','0','1','1','0',1,0,'2'
'1',50,0,0,0,3,'0','1','0','1','0',0,1,'1'
'1',38,0,0,0,0,'1','0','0','1','0',1,0,'1'
'1',41,0,0,0,1,'1','0','0','0','1',1,0,'1'
'1',28,8,0,1,16,'1','0','0','1','0',1,0,'2'
'0',30,0,0,0,0,'1','0','0','1','0',0,1,'1'
'1',23,0,0,0,1,'0','0','1','1','0',1,0,'1'
'1',25,0,0,0,2,'1','0','0','0','1',1,0,'2'
'1',40,0,0,0,5,'1','0','0','0','1',1,0,'1'
'1',27,0,0,0,5,'1','0','0','1','0',0,1,'2'
'1',44,0,0,0,11,'1','0','0','0','1',0,1,'1'
'0',35,0,0,0,6,'1','0','0','1','0',1,0,'2'
'1',42,0,0,0,0,'1','0','0','0','1',0,1,'1'
'1',38,0,0,0,15,'1','0','0','1','0',1,0,'1'
'0',25,0,0,0,0,'1','0','0','1','0',0,1,'1'
'0',49,0,0,0,2,'0','1','0','0','1',0,1,'2'
'1',50,0,0,0,5,'0','1','0','0','1',1,0,'2'
'1',66,0,0,0,0,'0','1','0','0','1',0,1,'2'
'0',46,0,0,0,0,'0','1','0','0','1',0,1,'1'
'1',30,0,0,1,5,'1','0','0','1','0',1,0,'2'
'0',22,0,0,0,0,'0','0','1','0','1',0,1,'1'
'1',23,0,0,0,1,'0','0','1','0','1',0,1,'1'
'1',25,0,0,0,0,'1','0','0','1','0',0,1,'1'
'0',21,0,0,0,0,'0','0','1','0','1',1,0,'1'
'1',27,0,0,0,0,'1','0','0','1','0',0,1,'1'
'0',24,0,0,1,0,'0','0','1','0','1',1,0,'1'
'1',20,1,0,0,1,'0','0','1','1','0',1,0,'1'
'1',31,0,0,0,3,'1','0','0','1','0',0,1,'2'
'1',27,0,0,0,3,'1','0','0','1','0',0,1,'2'
'1',40,0,0,0,0,'1','0','0','1','0',1,0,'1'
