@relation aux
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SaTime1 numeric
@attribute SaTime2 numeric
@attribute SaTime3 numeric
@attribute SaTime4 numeric
@attribute diffSaTime1 numeric
@attribute diffSaTime2 numeric
@attribute diffSaTime3 numeric
@attribute diffSaTime4 numeric
@attribute Sa numeric
@attribute class {'1','2'}
@data
-197,-43,-0.05,0.11,1.6,-9,-8,-0.021,-0.6,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-241,-48,-0.31,0.05,1.3,-10,1,-0.018,-0.5,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-202,-56,-0.42,0,0.5,-11,3,0.001,0.3,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
373,-51,0.01,-0.06,-0.9,-12,12,0.01,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
528,-34,0.2,0.01,-0.7,-12,6,0.008,-0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
383,7,-0.01,0.09,0.2,-11,-6,-0.009,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
172,17,-0.18,0.15,0,-11,-12,-0.008,-0.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
6,21,-0.24,0.09,-0.8,-12,-5,-0.001,-0.1,-6e-04,-6e-04,-6e-04,-7e-04,1e-04,0,1e-04,0,-7e-04,'1'
106,23,0.04,0.01,-1,-12,5,0.01,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-311,13,-0.2,0.07,0.1,-11,-3,0.004,-0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
84,-11,0.22,0.01,0.6,-10,4,0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-102,-9,-0.17,0.09,0.8,-10,-6,-0.01,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
357,9,0.33,0.02,-0.2,-11,3,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
321,21,0.27,0.1,0.6,-10,-7,-0.011,-0.4,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-16,33,-0.46,0.11,0.1,-11,-8,-0.014,0,-9e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,0,-9e-04,'1'
320,48,0.41,0.01,-0.7,-12,5,0.009,-0.1,-6e-04,-6e-04,-6e-04,-5e-04,0,0,-1e-04,0,-5e-04,'1'
344,54,0.46,0.11,-0.3,-11,-4,0.004,-1.5,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
272,60,0.48,0.16,0.4,-11,-12,-0.006,-0.9,-8e-04,-8e-04,-8e-04,-7e-04,0,0,-2e-04,0,-7e-04,'1'
62,64,0.24,0.16,1,-10,-15,-0.017,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-499,48,-0.27,0.15,0.8,-10,-13,-0.01,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-299,-18,0.12,0.01,-0.6,-12,5,0.008,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-270,-21,0.17,-0.07,-0.6,-11,5,0.008,0.5,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
-173,-29,0.09,0.04,-0.1,-11,1,-0.007,-0.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
394,-17,-0.1,-0.03,-0.3,-11,8,-0.002,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
478,6,-0.13,0.04,-0.6,-11,1,-0.002,0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
193,60,0.06,0.1,0.1,-11,-7,-0.009,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-380,53,-0.17,0.15,-0.4,-11,-12,-0.003,0,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-366,26,-0.02,0.01,-0.9,-12,4,0.009,0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-92,14,0.28,-0.06,-0.5,-11,11,0.01,0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
356,40,0.45,0.03,-0.3,-11,2,0.002,0,-7e-04,-7e-04,-7e-04,-6e-04,-2e-04,0,-2e-04,0,-6e-04,'1'
296,51,0.35,0.09,0.5,-11,-6,-0.008,0.3,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-102,57,-0.08,0.17,1,-10,-15,-0.015,0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-266,53,-0.21,0.15,0.8,-10,-14,-0.007,0.2,-7e-04,-7e-04,-7e-04,-7e-04,1e-04,0,0,0,-7e-04,'1'
-71,20,0.32,0.01,0.8,-10,4,0.005,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
-146,17,0.16,0.1,1.4,-10,-7,-0.013,-0.1,-7e-04,-8e-04,-8e-04,-8e-04,1e-04,0,0,0,-8e-04,'1'
372,57,0.24,0.01,-0.9,-12,5,0.013,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
346,76,0.54,0.07,0.5,-11,-4,0.004,-0.1,-7e-04,-7e-04,-7e-04,-5e-04,-2e-04,0,-3e-04,0,-5e-04,'1'
-455,73,-0.23,0.16,1.4,-10,-15,-0.012,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-531,44,-0.25,0.02,0.5,-10,3,0.006,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-56,16,0.22,-0.05,0.4,-11,10,0.008,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
253,48,0.29,0.04,-0.5,-11,2,0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-16,60,0.01,0.11,0.6,-10,-9,-0.01,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-212,55,-0.27,0.12,0.3,-11,-9,-0.011,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'1'
-48,9,-0.05,0.04,-0.7,-12,2,0.006,0,-6e-04,-6e-04,-6e-04,-6e-04,1e-04,0,0,0,-6e-04,'1'
177,11,0.21,-0.03,-0.5,-11,9,0.007,-0.2,-7e-04,-6e-04,-6e-04,-5e-04,-2e-04,0,-1e-04,0,-5e-04,'1'
260,87,0.12,0.06,1.1,-10,-4,-0.015,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-120,94,-0.36,0.12,0.4,-11,-9,-0.008,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
13,77,0.42,0.04,-0.3,-11,2,0.005,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-337,71,0.3,0.17,1.2,-10,-15,-0.01,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-514,33,-0.23,0.06,1.5,-10,-4,-0.015,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-423,9,-0.45,0,0.4,-11,5,-0.005,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
172,-5,-0.13,-0.08,-1.2,-12,14,0.009,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
348,5,0.03,-0.03,-1.3,-12,8,0.008,0.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
426,19,0.21,0.04,-1.1,-12,3,0.009,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-242,-20,-0.65,0.03,-0.6,-11,2,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,'2'
-225,-23,-0.65,-0.02,-1.2,-11,2,0.011,0.3,-6e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,0,-8e-04,'2'
-29,-30,-0.02,0.01,-2.2,-12,6,0.019,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
77,-22,0.37,0.06,-0.5,-10,-2,-0.001,-0.2,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
123,-18,0.26,0.02,0.6,-9,2,-0.006,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-12,-14,-0.15,0.13,0.8,-9,-9,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,'2'
-75,-15,-0.28,0.02,0.6,-9,-7,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,'2'
-86,-16,-0.38,-0.06,0.4,-10,2,-0.008,1.2,-9e-04,-9e-04,-9e-04,-0.001,0,0,1e-04,0,-0.001,'2'
184,-12,-0.1,0.01,-1,-11,5,0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
165,-3,0.02,0.09,-1.1,-11,-4,0.003,-0.3,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-95,1,0.16,0.15,-0.8,-11,-11,0.004,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
66,-4,0.11,0.01,0.3,-10,3,-0.009,-0.2,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-56,-2,-0.21,0.09,0.1,-10,-6,-0.007,-0.1,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-169,-8,-0.21,0.09,-0.7,-11,-5,0.002,0,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
162,-11,0.11,-0.09,-0.9,-11,14,0.01,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
179,-2,0.29,0.1,-0.4,-10,-5,0.006,-0.4,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
-277,-4,0.14,0.19,0.6,-9,-16,-0.009,0,-9e-04,-9e-04,-9e-04,-9e-04,0,0,0,0,-9e-04,'2'
-103,-33,-0.06,0.01,-0.7,-11,4,0.011,-0.1,-5e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
100,-34,0.3,-0.07,-0.4,-10,10,0.015,-0.1,-5e-04,-4e-04,-4e-04,-4e-04,-1e-04,0,0,0,-4e-04,'2'
25,-26,0.46,0.1,1.5,-9,-7,-0.006,-0.5,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
-17,-26,0.43,0.02,1.8,-8,-8,-0.006,0.5,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
114,-18,-0.45,0.01,1.3,-9,2,-0.002,0,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
259,0,-0.06,0.02,-0.6,-10,3,0.01,-0.1,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'2'
265,5,0.03,0.14,-0.6,-11,-6,0.007,-1.7,-5e-04,-5e-04,-5e-04,-6e-04,0,0,1e-04,0,-6e-04,'2'
124,11,0.26,0.12,-0.3,-10,-11,0.012,0.4,-5e-04,-5e-04,-5e-04,-5e-04,-1e-04,0,0,0,-5e-04,'2'
-67,12,0.36,0.1,0.7,-9,-7,0.001,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
-93,11,0.36,0.1,0.8,-9,-8,0,-0.2,-7e-04,-7e-04,-7e-04,-6e-04,0,0,-2e-04,0,-6e-04,'2'
-184,4,0.25,0.05,1.7,-8,-3,-0.006,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
-291,-8,-0.03,0.07,2.1,-8,-6,-0.012,-0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
492,3,0,-0.03,-0.6,-11,7,0.007,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
416,18,0.14,0.11,-0.5,-10,-13,0.007,1.3,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
395,19,0.15,0.13,-0.5,-10,-11,0.007,0.8,-6e-04,-6e-04,-6e-04,-6e-04,-1e-04,0,0,0,-6e-04,'2'
205,30,0.05,0.12,-0.2,-10,-10,-0.009,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'2'
-273,30,-0.27,0.2,-0.5,-10,-18,-0.01,0,-8e-04,-9e-04,-9e-04,-9e-04,1e-04,0,0,0,-9e-04,'2'
-427,13,-0.2,0.05,-1.2,-11,-3,0.006,0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-356,-3,-0.05,0.01,-1.5,-11,4,0.007,0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
415,-3,0.29,-0.1,-0.7,-11,15,0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
88,31,0.31,0.14,1.3,-9,-13,-0.006,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'2'
-178,29,0.1,0.16,1.7,-8,-15,-0.013,0.1,-8e-04,-8e-04,-8e-04,-8e-04,0,0,0,0,-8e-04,'1'
-334,-2,-0.3,0.04,0.9,-9,-2,-0.004,0,-6e-04,-7e-04,-7e-04,-7e-04,1e-04,0,0,0,-7e-04,'1'
178,-15,0.06,-0.01,-0.2,-10,4,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'2'
19,-9,0.07,0.12,0.1,-10,-10,-0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-104,-12,0.06,0.07,0.3,-10,-4,-0.001,-0.2,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
193,1,0.26,0.03,-0.4,-10,1,0.004,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-41,8,0.2,0.1,0.7,-9,-8,-0.004,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
44,5,-0.16,-0.01,0.8,-9,4,-0.005,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
12,8,-0.18,0.06,0.1,-10,-3,0.001,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-275,0,-0.13,0.12,-0.6,-10,-9,0.002,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-339,-9,-0.09,0.08,-0.7,-11,-2,0.003,-0.7,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-106,-30,0.2,0.02,0,-10,3,-0.004,-0.2,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
239,-25,-0.11,-0.04,0.3,-10,7,-0.007,-0.1,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
-150,-11,0.04,0.09,-1.4,-11,-5,0.004,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
-61,-24,-0.21,0.04,1.2,-9,-3,-0.01,0,-7e-04,-7e-04,-7e-04,-7e-04,0,0,0,0,-7e-04,'1'
75,-25,-0.42,-0.07,0.5,-9,9,-0.009,0.1,-5e-04,-7e-04,-7e-04,-8e-04,1e-04,0,1e-04,0,-8e-04,'1'
371,-12,-0.17,-0.04,-0.6,-10,8,0.009,0,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
420,-8,-0.12,0.04,-0.7,-11,8,0.008,-0.6,-5e-04,-5e-04,-5e-04,-5e-04,0,0,0,0,-5e-04,'1'
-221,11,0.29,0.14,0.9,-9,-13,-0.003,-0.1,-6e-04,-6e-04,-6e-04,-6e-04,-2e-04,0,0,0,-6e-04,'1'
-311,-16,0.02,0.03,1.7,-8,-1,-0.007,0,-6e-04,-6e-04,-6e-04,-6e-04,0,0,0,0,-6e-04,'1'
3,-27,-0.32,-0.07,1.1,-9,10,-0.008,0,-5e-04,-6e-04,-6e-04,-7e-04,0,0,1e-04,0,-7e-04,'1'
23,-27,-0.32,-0.09,1.1,-9,10,-0.002,0.2,-5e-04,-5e-04,-5e-04,-6e-04,1e-04,0,0,0,-6e-04,'1'
463,-7,0.13,-0.05,0.6,-9,9,0.009,-0.1,-4e-04,-4e-04,-4e-04,-4e-04,0,0,0,0,-4e-04,'1'
