@relation aux
@attribute id numeric
@attribute start numeric
@attribute end numeric
@attribute event numeric
@attribute size numeric
@attribute class {'1','2'}
@data
142,0,371352,0,112,'1'
143,0,1022734,0,189,'1'
146,0,18386,0,28,'1'
147,0,163125,1,28,'1'
147,163125,277433,1,28,'2'
147,277433,954041,0,43,'2'
148,0,1938441,0,1174,'1'
149,0,1572473,0,38,'1'
150,0,130597,0,18,'1'
152,0,1560958,0,131,'1'
153,0,110,1,99,'1'
153,110,623764,1,99,'2'
153,623764,715489,1,99,'2'
153,715489,733875,0,95,'2'
154,0,110,1,99,'1'
154,110,623764,1,99,'2'
154,623764,729452,1,99,'2'
154,729452,1006885,1,95,'2'
154,1006885,1683493,0,101,'2'
155,0,96453,1,421,'1'
155,96453,286938,0,390,'2'
155,286938,438196,1,390,'2'
155,438196,1919707,0,403,'2'
151,0,1070211,0,71,'1'
156,0,31560,1,369,'1'
156,31560,425556,1,412,'2'
156,425556,619059,1,413,'2'
156,619059,669266,1,414,'2'
156,669266,705635,1,422,'2'
156,705635,722331,1,422,'2'
156,722331,1020438,1,445,'2'
156,1020438,1778289,0,445,'2'
157,0,425557,1,189,'1'
157,425557,619060,1,195,'2'
157,619060,665175,0,195,'2'
157,665175,669266,1,438,'2'
157,669266,677634,1,439,'2'
157,677634,688215,1,457,'2'
157,688215,688219,1,475,'2'
157,688219,705633,1,476,'2'
157,705633,709438,1,476,'2'
157,709438,722329,1,476,'2'
157,722329,1020436,1,476,'2'
157,1020436,1778287,0,476,'2'
158,0,66755,1,2544,'1'
158,66755,497372,1,1511,'2'
158,497372,723398,1,1510,'2'
158,723398,923445,1,1519,'2'
158,923445,1763287,0,1527,'2'
159,0,1409738,0,230,'1'
160,0,1632973,0,15,'1'
161,0,64795,0,1878,'1'
161,64795,79359,0,1906,'1'
161,79359,193157,1,1888,'1'
161,193157,197331,0,1885,'2'
161,197331,203803,1,1880,'2'
161,203803,767513,0,1873,'2'
162,0,64795,0,1878,'1'
162,64795,79359,0,1906,'1'
162,79359,193157,1,1888,'1'
162,193157,197331,0,1885,'2'
162,197331,203803,1,1880,'2'
162,203803,905981,1,1873,'2'
162,905981,907520,1,1870,'2'
162,907520,1026681,1,1870,'2'
162,1026681,1103594,1,1875,'2'
162,1103594,1250531,1,1808,'2'
162,1250531,1332163,1,1834,'2'
162,1332163,1353279,1,1837,'2'
162,1353279,1475979,1,1864,'2'
162,1475979,1476339,1,1770,'2'
162,1476339,1536305,1,1784,'2'
162,1536305,1584280,1,1666,'2'
162,1584280,1591358,1,1745,'2'
162,1591358,1716799,0,1746,'2'
164,0,110,1,55,'1'
164,110,715489,1,55,'2'
164,715489,733875,0,51,'2'
165,0,110,1,55,'1'
165,110,729453,1,55,'2'
165,729453,1006886,1,51,'2'
165,1006886,1683494,0,51,'2'
166,0,1201096,0,11,'1'
163,0,1632769,0,12,'1'
167,0,772390,0,64,'1'
277,0,738436,1,351,'1'
277,738436,1684695,0,420,'2'
278,0,26175,0,292,'1'
278,26175,1825138,0,304,'1'
279,0,6021,0,122,'1'
279,6021,18686,0,157,'1'
279,18686,26173,0,163,'1'
279,26173,121481,0,166,'1'
279,121481,1825135,0,168,'1'
280,0,1737874,0,155,'1'
168,0,62936,0,150,'1'
168,62936,1855080,0,160,'1'
169,0,62936,0,340,'1'
169,62936,926420,0,351,'1'
169,926420,1855079,0,350,'1'
281,0,10216,0,236,'1'
281,10216,23276,0,256,'1'
281,23276,24555,0,305,'1'
281,24555,31853,1,316,'1'
281,31853,35913,1,339,'2'
281,35913,1657324,0,350,'2'
282,0,173729,0,187,'1'
282,173729,1965873,0,194,'1'
170,0,104664,1,210,'1'
170,104664,1959744,0,210,'2'
171,0,149614,0,241,'1'
171,149614,1933888,0,257,'1'
172,0,1784274,0,206,'1'
173,0,137409,0,312,'1'
173,137409,157029,1,328,'1'
173,157029,323697,1,344,'2'
173,323697,737079,0,373,'2'
173,737079,1000890,0,373,'2'
173,1000890,1929549,0,373,'2'
283,0,30083,0,163,'1'
283,30083,74473,1,194,'1'
283,74473,157029,1,198,'2'
283,157029,1929552,0,211,'2'
174,0,1201096,0,11,'1'
284,0,398804,0,5,'1'
285,0,1180830,1,15,'1'
285,1180830,1495006,1,14,'2'
285,1495006,1526338,0,15,'2'
286,0,980444,1,39,'1'
286,980444,1003008,0,43,'2'
286,1003008,1381974,1,43,'2'
286,1381974,1630318,0,43,'2'
287,0,333561,0,48,'1'
288,0,118934,0,33,'1'
289,0,321111,0,9,'1'
290,0,12558,0,21,'1'
291,0,1681870,0,16,'1'
292,0,581554,0,16,'1'
293,0,436142,1,7,'1'
293,436142,678430,0,9,'2'
294,0,6192,0,8,'1'
306,0,215974,0,33,'1'
295,0,163760,0,17,'1'
296,0,1004945,0,17,'1'
296,1004945,1383911,1,17,'1'
296,1383911,1469252,0,17,'2'
297,0,36957,1,66,'1'
297,36957,44877,0,69,'2'
298,0,30265,1,66,'1'
298,30265,44877,0,69,'2'
299,0,74805,0,69,'1'
300,0,1261307,1,69,'1'
300,1261307,1405643,0,69,'2'
301,0,325209,0,115,'1'
302,0,36957,1,119,'1'
302,36957,44877,0,123,'2'
303,0,187,1,115,'1'
303,187,30452,1,119,'2'
303,30452,45064,0,123,'2'
304,0,12458,1,123,'1'
304,12458,74805,0,122,'2'
305,0,13008,1,123,'1'
305,13008,1245500,1,122,'2'
305,1245500,1261306,1,69,'2'
305,1261306,1263940,1,68,'2'
305,1263940,1405641,0,68,'2'
307,0,523455,0,113,'1'
175,0,1201096,0,19,'1'
308,0,294549,0,121,'1'
308,294549,673515,1,121,'1'
308,673515,921859,0,121,'2'
309,0,277043,0,23,'1'
310,0,163760,0,27,'1'
311,0,1004945,0,27,'1'
311,1004945,1383911,1,27,'1'
311,1383911,1469252,0,27,'2'
312,0,277043,0,21,'1'
313,0,294549,0,243,'1'
313,294549,673515,1,243,'1'
313,673515,921859,0,243,'2'
176,0,345298,1,466,'1'
176,345298,355944,1,469,'2'
176,355944,919654,0,462,'2'
177,0,345298,1,466,'1'
177,345298,355944,1,469,'2'
177,355944,1622132,0,462,'2'
179,0,431582,1,55,'1'
179,431582,1026466,1,55,'2'
179,1026466,1784317,0,55,'2'
180,0,158737,1,164,'1'
180,158737,215959,1,199,'2'
180,215959,220329,1,216,'2'
180,220329,242094,1,260,'2'
180,242094,431580,1,261,'2'
180,431580,625083,1,261,'2'
180,625083,671202,0,306,'2'
180,671202,675290,1,306,'2'
180,675290,694245,1,320,'2'
180,694245,705403,1,361,'2'
180,705403,711659,1,356,'2'
180,711659,728355,1,357,'2'
180,728355,802525,1,362,'2'
180,802525,1004950,1,362,'2'
180,1004950,1026460,1,362,'2'
180,1026460,1784311,0,362,'2'
181,0,919655,0,95,'1'
182,0,1221171,1,95,'1'
182,1221171,1718845,1,114,'2'
182,1718845,1868947,0,116,'2'
183,0,1594613,0,154,'1'
184,0,196258,1,49,'1'
184,196258,1765388,0,54,'2'
178,0,1763290,0,37,'1'
185,0,1252,1,590,'1'
185,1252,1888025,0,611,'2'
186,0,1632769,0,15,'1'
187,0,932845,1,19,'1'
187,932845,1632769,0,19,'2'
188,0,1855080,0,18,'1'
189,0,1560958,0,18,'1'
190,0,1855080,0,18,'1'
191,0,1560958,0,18,'1'
192,0,1802762,0,8,'1'
193,0,1855080,0,21,'1'
194,0,1560958,0,21,'1'
195,0,1201096,0,11,'1'
314,0,1927936,0,178,'1'
196,0,1632769,0,12,'1'
204,0,1201096,0,142,'1'
205,0,747640,0,46,'1'
206,0,1450117,0,46,'1'
207,0,110,1,26,'1'
207,110,715489,1,26,'2'
207,715489,733875,0,22,'2'
208,0,110,1,26,'1'
208,110,729453,1,26,'2'
208,729453,874209,0,22,'2'
209,0,1201096,0,11,'1'
210,0,928659,0,44,'1'
197,0,404564,1,16,'1'
197,404564,511510,1,24,'2'
197,511510,681041,1,24,'2'
197,681041,732012,1,24,'2'
197,732012,883134,1,26,'2'
197,883134,1135918,0,26,'2'
197,1135918,1147458,0,26,'2'
198,0,404418,1,16,'1'
198,404418,511387,1,24,'2'
198,511387,583364,1,24,'2'
198,583364,731889,1,24,'2'
198,731889,883849,0,26,'2'
198,883849,1046869,1,26,'2'
198,1046869,1135794,0,26,'2'
198,1135794,1305539,0,26,'2'
198,1305539,1432501,1,36,'2'
198,1432501,1784122,0,36,'2'
199,0,476805,1,85,'1'
199,476805,630916,1,86,'2'
199,630916,793490,1,85,'2'
199,793490,793693,1,86,'2'
199,793693,807890,1,85,'2'
199,807890,877580,0,86,'2'
199,877580,888514,1,86,'2'
199,888514,943221,0,13,'2'
200,0,379251,1,85,'1'
200,379251,630916,1,86,'2'
200,630916,793455,1,85,'2'
200,793455,793693,1,86,'2'
200,793693,808342,1,85,'2'
200,808342,842756,1,86,'2'
200,842756,877581,0,86,'2'
200,877581,888619,1,86,'2'
200,888619,1108584,1,13,'2'
200,1108584,1228389,1,22,'2'
200,1228389,1580010,0,22,'2'
201,0,59300,1,820,'1'
201,59300,187690,1,851,'2'
201,187690,209158,1,854,'2'
201,209158,209242,1,855,'2'
201,209242,223002,1,843,'2'
201,223002,326711,1,840,'2'
201,326711,462648,1,843,'2'
201,462648,476786,1,848,'2'
201,476786,492628,1,848,'2'
201,492628,642233,1,848,'2'
201,642233,731711,0,863,'2'
201,731711,750493,1,867,'2'
201,750493,751030,1,868,'2'
201,751030,763183,0,867,'2'
201,763183,780950,1,874,'2'
201,780950,813645,0,866,'2'
201,813645,814319,0,870,'2'
201,814319,943201,0,874,'2'
202,0,59300,1,820,'1'
202,59300,187688,1,851,'2'
202,187688,209158,1,853,'2'
202,209158,209242,1,855,'2'
202,209242,223002,1,843,'2'
202,223002,326264,0,840,'2'
202,326264,379233,1,843,'2'
202,379233,462649,1,835,'2'
202,462649,491501,1,848,'2'
202,491501,642234,1,848,'2'
202,642234,731712,0,863,'2'
202,731712,750215,1,867,'2'
202,750215,751030,1,868,'2'
202,751030,763183,0,867,'2'
202,763183,780950,1,874,'2'
202,780950,813530,0,866,'2'
202,813530,814320,0,870,'2'
202,814320,842735,1,874,'2'
202,842735,1103333,0,874,'2'
202,1103333,1228368,1,875,'2'
202,1228368,1228379,1,875,'2'
202,1228379,1308734,1,877,'2'
202,1308734,1341562,1,878,'2'
202,1341562,1343514,1,878,'2'
202,1343514,1349090,1,996,'2'
202,1349090,1389019,1,999,'2'
202,1389019,1579986,0,999,'2'
203,0,224889,0,14,'1'
211,0,110,1,122,'1'
211,110,132624,0,134,'2'
211,132624,715489,1,124,'2'
211,715489,733875,0,100,'2'
212,0,110,1,122,'1'
212,110,132624,0,134,'2'
212,132624,729453,1,124,'2'
212,729453,1006886,1,100,'2'
212,1006886,1035717,1,103,'2'
212,1035717,1107663,1,99,'2'
212,1107663,1683493,0,101,'2'
213,0,1632769,0,15,'1'
214,0,215974,0,8,'1'
215,0,747640,0,25,'1'
216,0,1450117,0,25,'1'
217,0,110,1,26,'1'
217,110,715489,1,26,'2'
217,715489,733875,0,22,'2'
218,0,110,1,26,'1'
218,110,729453,1,26,'2'
218,729453,874209,0,22,'2'
219,0,747640,0,159,'1'
220,0,1450117,0,159,'1'
221,0,919655,0,37,'1'
222,0,1868948,0,37,'1'
223,0,70754,0,481,'1'
223,70754,79556,1,353,'1'
223,79556,89868,0,357,'2'
223,89868,100773,1,369,'2'
223,100773,109496,0,375,'2'
223,109496,124566,1,375,'2'
223,124566,136195,0,410,'2'
223,136195,139656,1,443,'2'
223,139656,145547,0,480,'2'
223,145547,196587,0,525,'2'
223,196587,230977,0,573,'2'
223,230977,276229,0,569,'2'
223,276229,313219,1,572,'2'
223,313219,948380,0,590,'2'
223,948380,955463,0,598,'2'
223,955463,1934629,0,608,'2'
224,0,747640,0,49,'1'
225,0,1450117,0,49,'1'
226,0,1859145,0,210,'1'
227,0,110,1,172,'1'
227,110,168503,1,172,'2'
227,168503,623764,1,172,'2'
227,623764,715489,1,173,'2'
227,715489,733875,0,174,'2'
228,0,110,1,172,'1'
228,110,168503,1,172,'2'
228,168503,623764,1,172,'2'
228,623764,729452,1,173,'2'
228,729452,920410,1,174,'2'
228,920410,1006884,1,172,'2'
228,1006884,1035715,1,174,'2'
228,1035715,1338064,1,285,'2'
228,1338064,1683491,0,307,'2'
229,0,747640,0,43,'1'
230,0,1450117,0,43,'1'
231,0,90837,1,102,'1'
231,90837,234792,0,102,'2'
231,234792,234902,1,101,'2'
231,234902,371447,1,107,'2'
231,371447,950280,1,102,'2'
231,950280,968666,0,99,'2'
232,0,90837,1,102,'1'
232,90837,234792,0,102,'2'
232,234792,234902,1,101,'2'
232,234902,371447,1,107,'2'
232,371447,964244,1,102,'2'
232,964244,1205675,1,99,'2'
232,1205675,1241677,1,108,'2'
232,1241677,1918285,0,109,'2'
233,0,8533,1,103,'1'
233,8533,11204,1,90,'2'
233,11204,1201094,0,90,'2'
234,0,767515,0,58,'1'
235,0,1469993,0,58,'1'
236,0,72015,0,64,'1'
236,72015,1632973,0,66,'1'
237,0,132940,0,92,'1'
237,132940,162914,0,96,'1'
237,162914,1947188,0,140,'1'
315,0,313246,0,27,'1'
316,0,122094,1,30,'1'
316,122094,163759,0,34,'2'
317,0,6230,1,16,'1'
317,6230,97361,1,15,'2'
317,97361,430728,1,21,'2'
317,430728,1338414,0,25,'2'
317,1338414,1717380,1,24,'2'
317,1717380,1802721,0,24,'2'
318,0,1446133,0,13,'1'
238,0,409769,1,527,'1'
238,409769,919654,0,572,'2'
239,0,409769,1,527,'1'
239,409769,1158850,1,572,'2'
239,1158850,1167285,1,576,'2'
239,1167285,1192319,1,590,'2'
